Techstack,Links
"React, Node.js, MongoDB",https://example.com/react-portfolio
"Angular,.NET, SQL Server",https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://example.com/vue-portfolio
"Python, Django, MySQL",https://example.com/python-portfolio
"Java, Spring Boot, Oracle",https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://example.com/react-native-portfolio
"iOS, Swift, Core Data",https://example.com/ios-portfolio
"Android, Java, Room Persistence",https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://example.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://example.com/android-tv-portfolio
"iOS, Swift, ARKit",https://example.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://example.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://example.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://example.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://example.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://example.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://example.com/devops-portfolio
"Flutter, Firebase, Dart",https://example.com/flutter-portfolio
"Kotlin, Android SDK, Room",https://example.com/kotlin-portfolio
"Swift, UIKit, Core Data",https://example.com/swift-portfolio
"C#, ASP.NET, Azure SQL",https://example.com/csharp-portfolio
"PHP, Laravel, MariaDB",https://example.com/php-portfolio
"Golang, Gin, Redis",https://example.com/golang-portfolio
"Perl, Catalyst, MongoDB",https://example.com/perl-portfolio
"Scala, Play, Cassandra",https://example.com/scala-portfolio
"Elixir, Phoenix, PostgreSQL",https://example.com/elixir-portfolio
"Rust, Actix, SQLite",https://example.com/rust-portfolio
"PHP, Rails, Oracle, IBM Cloud",https://example.com/portfolio-1
"Rust, React, PostgreSQL, Linode",https://example.com/portfolio-2
"Kotlin, Express, MariaDB, AWS",https://example.com/portfolio-3
"C++, Angular, PostgreSQL, DigitalOcean",https://example.com/portfolio-4
"PHP, Vue.js, MariaDB, Linode",https://example.com/portfolio-5
"PHP, Angular, MariaDB, Azure",https://example.com/portfolio-6
"PHP, Spring Boot, DynamoDB, AWS",https://example.com/portfolio-7
"Rust, Spring Boot, DynamoDB, Linode",https://example.com/portfolio-8
"Swift, Angular, SQLite, Vercel",https://example.com/portfolio-9
"Rust, Django, MySQL, Vercel",https://example.com/portfolio-10
"Rust, Vue.js, Oracle, Azure",https://example.com/portfolio-11
"Rust, Rails, Firebase, Linode",https://example.com/portfolio-12
"Java, React, MySQL, Netlify",https://example.com/portfolio-13
"Ruby, Django, Redis, IBM Cloud",https://example.com/portfolio-14
"Ruby, Vue.js, MySQL, Azure",https://example.com/portfolio-15
"Kotlin, React, Cassandra, Vercel",https://example.com/portfolio-16
"PHP, Rails, Oracle, GCP",https://example.com/portfolio-17
"PHP, Spring Boot, Oracle, GCP",https://example.com/portfolio-18
"Rust, Angular, SQLite, IBM Cloud",https://example.com/portfolio-19
"Python, React, Cassandra, Netlify",https://example.com/portfolio-20
"Rust, Gin, DynamoDB, DigitalOcean",https://example.com/portfolio-21
"Java, Laravel, SQLite, Cloudflare",https://example.com/portfolio-22
"JavaScript, Django, Cassandra, Vercel",https://example.com/portfolio-23
"Kotlin, Django, PostgreSQL, AWS",https://example.com/portfolio-24
"Kotlin, Flask, MySQL, Azure",https://example.com/portfolio-25
"PHP, Rails, MongoDB, Heroku",https://example.com/portfolio-26
"Swift, Angular, Oracle, Azure",https://example.com/portfolio-27
"JavaScript, Vue.js, SQLite, Netlify",https://example.com/portfolio-28
"C++, Angular, Firebase, IBM Cloud",https://example.com/portfolio-29
"Rust, Flask, MongoDB, AWS",https://example.com/portfolio-30
"Ruby, Rails, SQLite, GCP",https://example.com/portfolio-31
"Go, Gin, DynamoDB, Vercel",https://example.com/portfolio-32
"PHP, Angular, Cassandra, IBM Cloud",https://example.com/portfolio-33
"Ruby, Vue.js, SQLite, Netlify",https://example.com/portfolio-34
"Swift, Angular, Cassandra, Cloudflare",https://example.com/portfolio-35
"Java, Gin, MongoDB, Heroku",https://example.com/portfolio-36
"PHP, Vue.js, PostgreSQL, Cloudflare",https://example.com/portfolio-37
"Kotlin, Django, PostgreSQL, Vercel",https://example.com/portfolio-38
"Kotlin, React, SQLite, DigitalOcean",https://example.com/portfolio-39
"PHP, React, Oracle, Cloudflare",https://example.com/portfolio-40
"Go, Express, PostgreSQL, Netlify",https://example.com/portfolio-41
"Kotlin, Gin, MongoDB, AWS",https://example.com/portfolio-42
"Java, Laravel, Redis, IBM Cloud",https://example.com/portfolio-43
"Rust, Laravel, MongoDB, Heroku",https://example.com/portfolio-44
"C++, Gin, PostgreSQL, Vercel",https://example.com/portfolio-45
"Ruby, Spring Boot, SQLite, Vercel",https://example.com/portfolio-46
"Python, Flask, Oracle, Vercel",https://example.com/portfolio-47
"Go, React, MariaDB, GCP",https://example.com/portfolio-48
"C++, Flask, Redis, AWS",https://example.com/portfolio-49
"Kotlin, React, Redis, GCP",https://example.com/portfolio-50
